"","brand","fuel","year","age"
"411","TOYOTA","PHEV",2014,1
"412","TOYOTA","PHEV",2014,1
"413","TOYOTA","PHEV",2014,1
"414","TOYOTA","PHEV",2014,1
"415","TOYOTA","PHEV",2014,1
"416","TOYOTA","PHEV",2014,1
"417","TOYOTA","PHEV",2014,1
"418","TOYOTA","PHEV",2014,1
"419","TOYOTA","PHEV",2014,1
"420","TOYOTA","PHEV",2014,1
"421","TOYOTA","PHEV",2014,1
"422","TOYOTA","PHEV",2014,1
"423","TOYOTA","PHEV",2014,1
"424","TOYOTA","PHEV",2014,1
"425","TOYOTA","PHEV",2014,1
"426","TOYOTA","PHEV",2014,1
"427","TOYOTA","PHEV",2014,1
"428","TOYOTA","PHEV",2014,1
"429","TOYOTA","PHEV",2014,1
"430","TOYOTA","PHEV",2014,1
"431","TOYOTA","PHEV",2014,1
"432","TOYOTA","PHEV",2014,1
"433","TOYOTA","PHEV",2014,1
"434","TOYOTA","PHEV",2014,1
"435","TOYOTA","PHEV",2014,1
"436","TOYOTA","PHEV",2014,1
"437","TOYOTA","PHEV",2014,1
"438","TOYOTA","PHEV",2014,1
"439","TOYOTA","PHEV",2014,1
"440","TOYOTA","PHEV",2014,1
"441","TOYOTA","PHEV",2014,1
"442","TOYOTA","PHEV",2014,1
"443","TOYOTA","PHEV",2014,1
"444","TOYOTA","PHEV",2014,1
"445","TOYOTA","PHEV",2014,1
"446","TOYOTA","PHEV",2014,1
"447","TOYOTA","PHEV",2014,1
"448","TOYOTA","PHEV",2014,1
"449","TOYOTA","PHEV",2014,1
"450","TOYOTA","PHEV",2014,1
"451","TOYOTA","PHEV",2014,1
"452","TOYOTA","PHEV",2014,1
"453","TOYOTA","PHEV",2014,1
"454","TOYOTA","PHEV",2014,1
"455","TOYOTA","PHEV",2014,1
"456","TOYOTA","PHEV",2014,1
"457","TOYOTA","PHEV",2014,1
"458","TOYOTA","PHEV",2014,1
"459","TOYOTA","PHEV",2014,1
"460","TOYOTA","PHEV",2014,1
"461","TOYOTA","PHEV",2014,1
"462","TOYOTA","PHEV",2014,1
"463","TOYOTA","PHEV",2014,1
"464","TOYOTA","PHEV",2014,1
"465","TOYOTA","PHEV",2014,1
"466","TOYOTA","PHEV",2014,1
"467","TOYOTA","PHEV",2014,1
"468","TOYOTA","PHEV",2014,1
"469","TOYOTA","PHEV",2014,1
"470","TOYOTA","PHEV",2014,1
"471","TOYOTA","PHEV",2014,1
"472","TOYOTA","PHEV",2014,1
"473","TOYOTA","PHEV",2014,1
"474","TOYOTA","PHEV",2014,1
"475","TOYOTA","PHEV",2014,1
"476","TOYOTA","PHEV",2014,1
"477","TOYOTA","PHEV",2014,1
"478","TOYOTA","PHEV",2014,1
"479","TOYOTA","PHEV",2014,1
"480","TOYOTA","PHEV",2014,1
"481","TOYOTA","PHEV",2014,1
"482","TOYOTA","PHEV",2014,1
"483","TOYOTA","PHEV",2014,1
"484","TOYOTA","PHEV",2014,1
"485","TOYOTA","PHEV",2014,1
"486","TOYOTA","PHEV",2014,1
"487","TOYOTA","PHEV",2014,1
"488","TOYOTA","PHEV",2014,1
"489","TOYOTA","PHEV",2014,1
"490","TOYOTA","PHEV",2014,1
"491","TOYOTA","PHEV",2014,1
"492","TOYOTA","PHEV",2014,1
"493","TOYOTA","PHEV",2014,1
"494","TOYOTA","PHEV",2014,1
"495","TOYOTA","PHEV",2014,1
"496","TOYOTA","PHEV",2014,1
"497","TOYOTA","PHEV",2014,1
"498","TOYOTA","PHEV",2014,1
"499","TOYOTA","PHEV",2014,1
"500","TOYOTA","PHEV",2014,1
"501","TOYOTA","PHEV",2014,1
"502","TOYOTA","PHEV",2014,1
"503","TOYOTA","PHEV",2014,1
"504","TOYOTA","PHEV",2014,1
"505","TOYOTA","PHEV",2014,1
"506","TOYOTA","PHEV",2014,1
"507","TOYOTA","PHEV",2014,1
"508","TOYOTA","PHEV",2014,1
"509","TOYOTA","PHEV",2014,1
"510","TOYOTA","PHEV",2014,1
"511","TOYOTA","PHEV",2014,1
"512","TOYOTA","PHEV",2014,1
"513","TOYOTA","PHEV",2014,1
"514","TOYOTA","PHEV",2014,1
